Empresa;Empresa|Sku;Produto;Descrição;Status Compras;Categoria;Marca;Comprador;Pareto;Meta;Full;St.Oportunidades;Vlr. Custo ($);Vlr. Venda ($);Vlr Ticket ($);Acum Meta (Q);Acum Realizado (Q);Acum Meta ($);Acum Realizado (C$);Acum Realizado ($);CMV Total ($);Lucro Bruto ($);Impostos ($);Impostos (%);Margem  (%);Meta Atual (Q);Meta Atual (C$);Meta Atual ($);Meta - Realizado (Q);Meta %;Meta St.;Meta Ating St. ; Necess. (Q) Atual.;Necess. (C$) Atual.;Necess. ($) Atual.;Reprojeção (Q);Reprojeção (C$);Reprojeção ($);Necess. (Q) Atual Rep;Necess. (C$) Atual Rep;Necess. ($) Atual Rep;Reprojeção x Meta (Q); Desvio Abaixo ($); Desvio Acima ($);Reprojeção - Realizado (Q);Nivel Estoque Rep %;Nivel Estoque Rep % St.  ;Estoque L1 (Q);Estoque L1 (C$);Estoque L1 ($);Estoque Bling (Q);Estoque Blin Ajust. (Q);Estoque Bling (C$);Estoque Bling ($);Estoque Full (Q);Estoque Full (C$);Estoque Full ($);Estoque Total (Q);Estoque Mínimo (Q);Est. Total x Est. Mínimo (Q);Estoque Total (C$);Estoque Total ($);Estoque Meta (Q);Estoque Meta (C$);Estoque Meta ($);Nivel Estoque %;Nivel Estoque St.;Nivel Estoque St. %;Reprojeção x Estoque (Q);Reprojeção x Estoque (C$);Reprojeção x Estoque ($);Reprojeção x Estoque Nec. (Q);Reprojeção x Estoque Nec. (C$);Reprojeção x Estoque Nec. ($);Pedidos Pendentes (Q);Pedidos Pendentes (C$);Pedidos Pendentes ($);999 Estoque (Q);999 Ped. Pendente (Q);999 Estoque + Ped Pendente (Q);999 Demanda Lojas 30d (Q);999 Disponível (Q);999 Disponível (C$);999 Disponível ($);Estoque Total + Ped. Pendente (Q);Estoque Total + Ped. Pendente (C$);Estoque Total + Ped. Pendente ($);Estoque Futuro 1 (Q);Estoque Futuro 1  (C$);Estoque Futuro 1  ($);Estoque Meta Seg (Q);Estoque Meta Seg (C$);Estoque Meta Seg ($);Meta Seguinte (Q) ;Meta Seguinte (C$) ;Meta Seguinte ($) ;Meta Seg. Nec (Q);Meta Seg. Nec (C$);Meta Seg. Nec ($);Estoque Futuro 2 (Q);Estoque Futuro 2 (C$);Estoque Futuro 2 ($);Leadtime Médio (Dias);Ped. Pendente [Dig] (Q);Ped. Pendente [Dig] ($);Data Pedido [Dig];Previsão Entrega [Dig];Ped. Pendente [999] (Q);Ped. Pendente [999] (C$);Data Pedido [999];Previsão Entrega [999];Faturado XML Central (Q);Sku + Descrição;Calc. Venda diária;Calc. Dias Estoque;Calc. Estoque Atual.;Calc. St Dias Estoque;Calc. Status Meta x Status Estoque;Calc. Validar Saúde;Calc. Formatado;Calc. Estoque T.  Produto;Calc. Total meta;Calc. Valid;Calc. Validar;Prop % 1_15;Compras >15; Est1 ; Valid Nec ;Calc; Valid2 ;Fut s/full;Exportar;Peso Liq Unit;Ação Shopee
996 ;996|14174;14174;APOQUEL 16MG 20 COMPRIMIDOS;ATIVO;FARMÁCIA;ZOETIS;Gelder;Sim;Sim;Sim;Vendas + Compras;227,70 ;422,97 ;317,23 ;11 ;1 ;3.595 ;228 ;317 ;228 ;90 ;0 ;0,00%;28,2%;20 ;4.554 ;6.070 ;19 ;5%;Meta 25%;0% a 10%;0 ;0 ;0 ;2 ;402 ;560 ;0 ;0 ;0 ;-10 ;-3.278 ;0 ;1 ;3138%;Acima de 100%;0 ;0 ;0 ;0 ;0 ;0 ;0 ;24 ;5.465 ;7.613 ;24 ;9 ;0 ;5.465 ;7.613 ;19;4.326;6.027;3138%;Estoque maior que 100%;Acima de 100%;2 ;402 ;560 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0;0;0;0;0;24;5.465;7.613;5;1.139;1.586;0;0;0;0 ;0 ;0 ;0 ;0 ;0 ;5 ;1.139 ;1.586 ;7;0;0;;;0;0;;;0 ;14174 - APOQUEL 16MG 20 COMPRIMIDOS;                                                   0,06 ;                                                       408 ;                                                               24 ;Com excesso;Meta 25%|Estoque maior que 100%;Vendas + Compras;Vendas + Compras;149 ;471 ;2;1;100,00%;                                               -   ;                            -   ;                                  197 ;2;                                 4 ;                                    -   ; Sim ;                                              -   ;                                               -   
1 ;1|26335;26335;RUP IND - AREIA HIGIÊNICA BIODEGRADÁVEL VIVA VERDE GRÃOS FINOS 4KG;ATIVO;HIGIENE E LIMPEZA;VIVA VERDE;Yasmin;Sim;Não;Não;OK;34,16 ;69,90 ;69,53 ;0 ;538 ;0 ;18.378 ;37.407 ;18.378 ;13.737 ;5.293 ;14,15%;42,8%;0 ;0 ;0 ;0 ;0%;Sem meta;0% a 10%;0 ;0 ;0 ;949 ;32.432 ;66.013 ;411 ;14.054 ;28.605 ;538 ;0 ;37.407 ;411 ;0%;0% a 10%;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0;0;0;0%;Estoque Zerado;0% a 10%;538 ;18.378 ;37.407 ;411 ;14.054 ;28.605 ;0 ;0 ;0 ;501 ;0 ;501;136;365;12.472;25.385;0;0;0;0;0;0;0;0;0;1.200 ;40.992 ;83.436 ;1.200 ;40.992 ;83.436 ;0 ;0 ;0 ;2;0;0;;;0;0;;;0 ;26335 - RUP IND - AREIA HIGIÊNICA BIODEGRADÁVEL VIVA VERDE GRÃOS FINOS 4KG;                                                31,65 ;                                                              -   ;                                                                  -   ;Zerado;Sem meta|Estoque Zerado;OK;Compras;-411 ;0 ;0;2;99,31%;                                               -   ;                            -   ;                                         -   ;2;                                 -   ;                                    -   ; Sim ;                                               4 ;                                               -   
1 ;1|24704;24704;SACHÊ ROYAL CANIN CANINE YORKSHIRE WET 85G;ATIVO;ALIMENTAÇÃO;ROYAL CANIN;Yasmin;Não;Sim;Não;Vendas Crítico;6,61 ;9,90 ;11,72 ;23 ;0 ;266 ;0 ;0 ;0 ;0 ;0 ;11,96%;0,0%;40 ;264 ;471 ;40 ;0%;Sem venda;0% a 10%;16 ;106 ;188 ;0 ;0 ;0 ;0 ;0 ;0 ;-23 ;-266 ;0 ;0 ;99900%;Acima de 100%;24 ;159 ;281 ;24 ;24 ;159 ;281 ;0 ;0 ;0 ;24 ;19 ;0 ;159 ;281 ;24;159;281;99900%;Estoque até 75%;Acima de 100%;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0;11;0;0;0;24;159;281;0;0;0;0;0;0;62 ;410 ;727 ;62 ;410 ;727 ;0 ;0 ;0 ;4;0;0;;;0;0;;;0 ;24704 - SACHÊ ROYAL CANIN CANINE YORKSHIRE WET 85G;                                                   0,01 ;                                                  2.400 ;                                                               24 ;Com excesso;Sem venda|Estoque até 75%;Vendas Crítico;Vendas Crítico;24 ;40 ;2;1;59,41%;                                            48 ;                            -   ;                                         -   ;2;                              19 ;                                    -   ; Sim ;                                               0 ;                                               -   
1 ;1|17435;17435;RAÇÃO GUABI NATURAL CÃES ADULTOS SENSITIVE MÍNIS, PEQUENOS E MÉDIOS SALMÃO E AVEIA 2,5KG;ATIVO;ALIMENTAÇÃO;GUABI NATURAL;Yasmin;Não;Sim;Não;Vendas Crítico;66,43 ;127,90 ;97,35 ;11 ;2 ;1.103 ;133 ;195 ;133 ;37 ;25 ;12,70%;21,8%;20 ;1.329 ;2.178 ;18 ;10%;Meta 25%;10% a 20%;4 ;266 ;389 ;4 ;234 ;344 ;0 ;0 ;0 ;-9 ;-909 ;0 ;2 ;915%;Acima de 100%;14 ;930 ;1.363 ;14 ;14 ;930 ;1.363 ;0 ;0 ;0 ;14 ;9 ;0 ;930 ;1.363 ;14;930;1.363;915%;Estoque maior 75%;Acima de 100%;4 ;234 ;344 ;0 ;0 ;0 ;0 ;0 ;0 ;11 ;0 ;11;11;0;0;0;14;930;1.363;0;0;0;0;0;0;11 ;731 ;1.071 ;11 ;731 ;1.071 ;0 ;0 ;0 ;4;0;0;;;0;0;;;0 ;17435 - RAÇÃO GUABI NATURAL CÃES ADULTOS SENSITIVE MÍNIS, PEQUENOS E MÉDIOS SALMÃO E AVEIA 2,5KG;                                                   0,12 ;                                                       119 ;                                                               14 ;Com excesso;Meta 25%|Estoque maior 75%;Vendas Crítico;Vendas Crítico;12 ;18 ;2;1;56,76%;                                            20 ;                            -   ;                                         -   ;2;                                 9 ;                                    -   ; Sim ;                                               3 ;                                               -   
1 ;1|32094;32094;PATÊ GRAN PLUS GOURMET CÃES SÊNIOR FRANGO 300G;ATIVO;ALIMENTAÇÃO;GRAN PLUS;Yasmin;Não;Sim;Não;Vendas + Compras;8,47 ;15,90 ;14,69 ;11 ;4 ;166 ;34 ;59 ;34 ;25 ;0 ;0,00%;42,3%;20 ;169 ;322 ;16 ;20%;Meta 25%;20% a 30%;0 ;0 ;0 ;7 ;60 ;104 ;0 ;0 ;0 ;-7 ;-108 ;0 ;3 ;785%;Acima de 100%;24 ;203 ;353 ;24 ;24 ;203 ;353 ;0 ;0 ;0 ;24 ;10 ;0 ;203 ;353 ;16;136;235;785%;Estoque maior que 100%;Acima de 100%;7 ;60 ;104 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0;58;0;0;0;24;203;353;8;68;118;8;68;118;34 ;288 ;499 ;26 ;220 ;382 ;0 ;0 ;0 ;4;0;0;;;0;0;;;147 ;32094 - PATÊ GRAN PLUS GOURMET CÃES SÊNIOR FRANGO 300G;                                                   0,24 ;                                                       102 ;                                                               24 ;Com excesso;Meta 25%|Estoque maior que 100%;Vendas + Compras;Vendas + Compras;21 ;16 ;1;1;42,72%;                                            24 ;                            -   ;                                         -   ;2;                                 2 ;                                     8 ; Sim ;                                               0 ;                                               -   
997 ;997|18613;18613;RAÇÃO BIOFRESH CÃES SÊNIOR MÍNIS E PEQUENOS MIX DE CARNE 3KG;ATIVO;ALIMENTAÇÃO;BIOFRESH;Yasmin;Sim;Não;Sim;OK;105,65 ;192,90 ;161,90 ;0 ;17 ;0 ;1.796 ;2.752 ;1.796 ;956 ;0 ;0,00%;34,7%;0 ;0 ;0 ;0 ;0%;Sem meta;0% a 10%;0 ;0 ;0 ;30 ;3.170 ;4.857 ;6 ;634 ;971 ;17 ;0 ;2.752 ;13 ;54%;50% a 60%;0 ;0 ;0 ;0 ;0 ;0 ;0 ;7 ;740 ;1.133 ;7 ;1 ;0 ;740 ;1.133 ;0;0;0;54%;Meta Cumprida;50% a 60%;24 ;2.536 ;3.886 ;6 ;634 ;971 ;0 ;0 ;0 ;0 ;0 ;0;0;0;0;0;7;740;1.133;0;0;0;0;0;0;30 ;3.170 ;4.857 ;30 ;3.170 ;4.857 ;0 ;0 ;0 ;4;0;0;;;0;0;;;0 ;18613 - RAÇÃO BIOFRESH CÃES SÊNIOR MÍNIS E PEQUENOS MIX DE CARNE 3KG;                                                   1,00 ;                                                              7 ;                                                                  7 ;Sem Excesso;Sem meta|Meta Cumprida;OK;OK;0 ;0 ;0;1;54,14%;                                               -   ;                            -   ;                                         1 ;2;                                 1 ;                                    -   ; Sim ;                                               3 ;                                               -   
1 ;1|27004;27004;SACHÊ GOLDEN GOURMET CÃES ADULTOS PEQUENOS FRANGO 85G;ATIVO;ALIMENTAÇÃO;GOLDEN;Gelder;Não;Sim;Não;Compras;2,09 ;3,69 ;3,13 ;68 ;24 ;213 ;50 ;75 ;50 ;18 ;7 ;9,25%;26,3%;120 ;251 ;376 ;96 ;20%;Meta 25%;20% a 30%;96 ;201 ;300 ;42 ;89 ;133 ;18 ;38 ;57 ;-44 ;-138 ;0 ;18 ;0%;0% a 10%;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;61 ;61 ;0 ;0 ;0;0;0;0%;Estoque Zerado;0% a 10%;24 ;50 ;75 ;18 ;38 ;57 ;0 ;0 ;0 ;201 ;0 ;201;1.317;0;0;0;0;0;0;0;0;0;0;0;0;71 ;149 ;222 ;71 ;149 ;222 ;0 ;0 ;0 ;7;0;0;;;0;0;;;0 ;27004 - SACHÊ GOLDEN GOURMET CÃES ADULTOS PEQUENOS FRANGO 85G;                                                   1,41 ;                                                              -   ;                                                                  -   ;Zerado;Meta 25%|Estoque Zerado;Compras;Compras;-18 ;96 ;2;2;52,17%;                                            80 ;                            -   ;                                         -   ;2;                              61 ;                                    -   ; Sim ;                                               0 ;                                               -   
996 ;996|1726;1726;SIMPARIC 120MG 40,1KG A 60KG 3 COMPRIMIDOS;ATIVO;FARMÁCIA;ZOETIS;Gelder;Sim;Sim;Sim;Compras;178,19 ;324,99 ;259,00 ;17 ;30 ;4.403 ;5.346 ;7.770 ;5.346 ;1.844 ;580 ;7,47%;25,6%;30 ;5.346 ;7.770 ;0 ;100%;Meta acima 75%;90% a 100%;0 ;0 ;0 ;53 ;9.434 ;13.712 ;23 ;4.088 ;5.942 ;13 ;0 ;3.367 ;23 ;0%;0% a 10%;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;20 ;20 ;0 ;0 ;0;0;0;0%;Estoque Zerado;0% a 10%;30 ;5.346 ;7.770 ;23 ;4.088 ;5.942 ;0 ;0 ;0 ;0 ;0 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50 ;8.910 ;12.950 ;50 ;8.910 ;12.950 ;0 ;0 ;0 ;7;0;0;;;0;0;;;0 ;1726 - SIMPARIC 120MG 40,1KG A 60KG 3 COMPRIMIDOS;                                                   1,76 ;                                                              -   ;                                                                  -   ;Zerado;Meta acima 75%|Estoque Zerado;Compras;Compras;198 ;268 ;2;2;50,60%;                                               -   ;                     110 ;                                  122 ;2;                              20 ;                                    -   ; Sim ;                                              -   ;                                               -   
995 ;995|29969;29969;AREIA HIGIÊNICA GREAT PETS PURPLE MOON LAVANDA 4KG;ATIVO;HIGIENE E LIMPEZA;GREAT PETS;Yasmin;Não;Sim;Sim;Vendas Crítico;16,75 ;39,99 ;28,69 ;13 ;4 ;374 ;67 ;115 ;67 ;20 ;28 ;24,03%;23,1%;23 ;385 ;660 ;19 ;17%;Meta 25%;10% a 20%;0 ;0 ;0 ;7 ;118 ;203 ;0 ;0 ;0 ;-9 ;-259 ;0 ;3 ;621%;Acima de 100%;0 ;0 ;0 ;0 ;0 ;0 ;0 ;19 ;318 ;545 ;19 ;10 ;0 ;318 ;545 ;19;318;545;621%;Estoque maior 75%;Acima de 100%;7 ;118 ;203 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0;0;0;0;0;19;318;545;0;0;0;0;0;0;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;13;0;0;;;0;0;;;0 ;29969 - AREIA HIGIÊNICA GREAT PETS PURPLE MOON LAVANDA 4KG;                                                   0,24 ;                                                           81 ;                                                               19 ;Com excesso;Meta 25%|Estoque maior 75%;Vendas Crítico;Vendas Crítico;26 ;57 ;2;1;75,00%;                                               -   ;                            -   ;                                      40 ;2;                              10 ;                                    -   ; Sim ;                                               4 ;                                               -   
1 ;1|1471;1471;RAÇÃO PREMIER AMBIENTES INTERNOS CÃES ADULTOS PEQUENOS FRANGO E SALMÃO 1KG;ATIVO;ALIMENTAÇÃO;PREMIER;Gelder;Não;Sim;Não;Vendas Crítico;22,75 ;43,50 ;39,38 ;28 ;9 ;1.116 ;205 ;354 ;205 ;105 ;45 ;12,72%;33,8%;50 ;1.138 ;1.978 ;41 ;18%;Meta 25%;10% a 20%;32 ;728 ;1.260 ;16 ;361 ;625 ;0 ;0 ;0 ;-19 ;-761 ;0 ;7 ;131%;Acima de 100%;9 ;205 ;354 ;9 ;9 ;205 ;354 ;0 ;0 ;0 ;9 ;24 ;15 ;205 ;354 ;9;205;354;131%;Estoque até 25%;Acima de 100%;16 ;361 ;625 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0;51;0;0;0;9;205;354;0;0;0;0;0;0;19 ;432 ;748 ;19 ;432 ;748 ;0 ;0 ;0 ;7;0;0;;;0;0;;;0 ;1471 - RAÇÃO PREMIER AMBIENTES INTERNOS CÃES ADULTOS PEQUENOS FRANGO E SALMÃO 1KG;                                                   0,53 ;                                                           17 ;                                                                  9 ;Sem Excesso;Meta 25%|Estoque até 25%;Vendas Crítico;Vendas Crítico;2 ;41 ;2;1;43,14%;                                            28 ;                            -   ;                                         -   ;2;                              24 ;                                    -   ; Sim ;                                               1 ;                                               -   
1 ;1|15986;15986;RAÇÃO ROYAL CANIN VETERINARY FELINE URINARY S/O 1,5KG;ATIVO;ALIMENTAÇÃO;ROYAL CANIN;Yasmin;Não;Sim;Não;OK;87,52 ;154,90 ;140,60 ;11 ;26 ;1.593 ;2.276 ;3.656 ;2.276 ;788 ;592 ;16,20%;25,7%;20 ;1.750 ;2.894 ;0 ;130%;Meta acima 100%;Acima de 100%;0 ;0 ;0 ;46 ;4.016 ;6.451 ;0 ;0 ;0 ;15 ;0 ;2.062 ;20 ;20%;20% a 30%;4 ;350 ;562 ;4 ;4 ;350 ;562 ;0 ;0 ;0 ;4 ;9 ;5 ;350 ;562 ;0;0;0;20%;Meta Cumprida;20% a 30%;30 ;2.626 ;4.218 ;16 ;1.390 ;2.233 ;0 ;0 ;0 ;0 ;0 ;0;25;0;0;0;4;350;562;0;0;0;0;0;0;16 ;1.400 ;2.250 ;16 ;1.400 ;2.250 ;0 ;0 ;0 ;4;0;0;;;0;0;;;0 ;15986 - RAÇÃO ROYAL CANIN VETERINARY FELINE URINARY S/O 1,5KG;                                                   1,53 ;                                                              3 ;                                                                  4 ;Sem Excesso;Meta acima 100%|Meta Cumprida;OK;OK;-16 ;0 ;0;1;77,38%;                                            20 ;                            -   ;                                         -   ;2;                                 9 ;                                    -   ; Sim ;                                               2 ;                                               -   
1 ;1|15938;15938;RAÇÃO PREMIER AMBIENTES INTERNOS CÃES ADULTOS CASTRADOS PEQUENOS FRANGO E SALMÃO 1KG;ATIVO;ALIMENTAÇÃO;PREMIER;Gelder;Não;Sim;Não;Vendas Crítico;23,98 ;45,90 ;43,05 ;11 ;3 ;488 ;72 ;129 ;72 ;36 ;21 ;16,45%;33,3%;20 ;480 ;913 ;17 ;15%;Meta 25%;10% a 20%;2 ;48 ;86 ;5 ;127 ;228 ;0 ;0 ;0 ;-8 ;-359 ;0 ;2 ;654%;Acima de 100%;15 ;360 ;646 ;15 ;15 ;360 ;646 ;0 ;0 ;0 ;15 ;10 ;0 ;360 ;646 ;15;360;646;654%;Estoque maior 75%;Acima de 100%;5 ;127 ;228 ;0 ;0 ;0 ;0 ;0 ;0 ;4 ;0 ;4;17;0;0;0;15;360;646;0;0;0;0;0;0;11 ;264 ;474 ;11 ;264 ;474 ;0 ;0 ;0 ;7;0;0;;;0;0;;;0 ;15938 - RAÇÃO PREMIER AMBIENTES INTERNOS CÃES ADULTOS CASTRADOS PEQUENOS FRANGO E SALMÃO 1KG;                                                   0,18 ;                                                           85 ;                                                               15 ;Com excesso;Meta 25%|Estoque maior 75%;Vendas Crítico;Vendas Crítico;13 ;17 ;2;1;51,43%;                                            10 ;                            -   ;                                         -   ;2;                              10 ;                                    -   ; Sim ;                                               1 ;                                               -   
1 ;1|29111;29111;PATÊ FÓRMULA NATURAL RECEITAS CASEIRAS CÃES ADULTOS FRANGO À MODA CAIPIRA 270G;ATIVO;ALIMENTAÇÃO;FÓRMULA NATURAL;Yasmin;Não;Sim;Não;OK;10,36 ;19,90 ;18,78 ;11 ;15 ;213 ;155 ;282 ;155 ;87 ;40 ;14,04%;35,8%;20 ;207 ;359 ;5 ;75%;Meta acima 75%;70% a 80%;1 ;10 ;19 ;26 ;274 ;497 ;7 ;77 ;140 ;4 ;0 ;69 ;11 ;35%;30% a 40%;4 ;41 ;75 ;4 ;4 ;41 ;75 ;0 ;0 ;0 ;4 ;14 ;10 ;41 ;75 ;4;41;75;35%;Estoque maior 75%;30% a 40%;19 ;197 ;357 ;7 ;77 ;140 ;0 ;0 ;0 ;0 ;0 ;0;67;0;0;0;4;41;75;0;0;0;0;0;0;22 ;228 ;413 ;22 ;228 ;413 ;0 ;0 ;0 ;10;0;0;;;0;0;;;0 ;29111 - PATÊ FÓRMULA NATURAL RECEITAS CASEIRAS CÃES ADULTOS FRANGO À MODA CAIPIRA 270G;                                                   0,88 ;                                                              5 ;                                                                  4 ;Sem Excesso;Meta acima 75%|Estoque maior 75%;OK;OK;-7 ;5 ;2;1;58,54%;                                            24 ;                            -   ;                                         -   ;2;                              14 ;                                    -   ; Sim ;                                               0 ;                                               -   
996 ;996|1725;1725;SIMPARIC 120MG 40,1KG A 60KG 1 COMPRIMIDO;ATIVO;FARMÁCIA;ZOETIS;Gelder;Sim;Sim;Sim;Vendas + Compras;71,79 ;127,99 ;110,16 ;68 ;18 ;7.491 ;1.292 ;1.983 ;1.292 ;602 ;89 ;4,48%;31,8%;120 ;8.615 ;13.870 ;102 ;15%;Meta 25%;10% a 20%;0 ;0 ;0 ;32 ;2.280 ;3.499 ;0 ;0 ;0 ;-50 ;-5.508 ;0 ;14 ;1351%;Acima de 100%;0 ;0 ;0 ;0 ;0 ;0 ;0 ;186 ;13.353 ;20.490 ;186 ;65 ;0 ;13.353 ;20.490 ;102;7.323;11.236;1351%;Estoque maior que 100%;Acima de 100%;32 ;2.280 ;3.499 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0;0;0;0;0;186;13.353;20.490;84;6.030;9.253;84;6.030;9.253;100 ;7.179 ;11.016 ;16 ;1.149 ;1.763 ;0 ;0 ;0 ;7;0;0;;;0;0;;;0 ;1725 - SIMPARIC 120MG 40,1KG A 60KG 1 COMPRIMIDO;                                                   1,06 ;                                                       176 ;                                                           186 ;Com excesso;Meta 25%|Estoque maior que 100%;Vendas + Compras;Vendas + Compras;120 ;305 ;2;1;58,09%;                                               -   ;                         41 ;                                      51 ;2;                                 -   ;                                    -   ; Sim ;                                              -   ;                                               -   
997 ;997|17110;17110;RAÇÃO GOLDEN FÓRMULA CÃES ADULTOS SALMÃO E ARROZ MINI BITS 10,1KG;ATIVO;ALIMENTAÇÃO;GOLDEN;Gelder;Sim;Sim;Sim;Compras;86,22 ;148,90 ;164,77 ;23 ;0 ;3.735 ;0 ;0 ;0 ;0 ;0 ;0,00%;0,0%;40 ;3.449 ;6.591 ;40 ;0%;Sem venda;0% a 10%;40 ;3.449 ;6.591 ;0 ;0 ;0 ;0 ;0 ;0 ;-23 ;-3.735 ;0 ;0 ;99900%;Acima de 100%;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;17 ;17 ;0 ;0 ;0;0;0;99900%;Estoque Zerado;Acima de 100%;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;7;0;0;;;0;0;;;0 ;17110 - RAÇÃO GOLDEN FÓRMULA CÃES ADULTOS SALMÃO E ARROZ MINI BITS 10,1KG;                                                   0,01 ;                                                              -   ;                                                                  -   ;Zerado;Sem venda|Estoque Zerado;Compras;Compras;7 ;54 ;2;2;30,00%;                                               -   ;                            -   ;                                      35 ;2;                              17 ;                                    -   ; Sim ;                                           10 ;                                               -   
1 ;1|17917;17917;RAÇÃO FÓRMULA NATURAL FRESH MEAT CÃES ADULTOS MÉDIOS 12KG;ATIVO;ALIMENTAÇÃO;FÓRMULA NATURAL;Yasmin;Sim;Sim;Não;Compras;189,63 ;363,90 ;294,70 ;17 ;24 ;5.010 ;4.551 ;7.073 ;4.551 ;1.454 ;1.068 ;15,10%;24,2%;30 ;5.689 ;8.574 ;6 ;80%;Meta acima 75%;80% a 90%;6 ;1.138 ;1.768 ;42 ;8.032 ;12.481 ;18 ;3.480 ;5.409 ;7 ;0 ;2.063 ;18 ;0%;0% a 10%;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;25 ;25 ;0 ;0 ;0;0;0;0%;Estoque Zerado;0% a 10%;24 ;4.551 ;7.073 ;18 ;3.480 ;5.409 ;0 ;0 ;0 ;1 ;1 ;2;38;0;0;0;0;0;0;0;0;0;0;0;0;50 ;9.482 ;14.735 ;50 ;9.482 ;14.735 ;0 ;0 ;0 ;10;0;0;;;1;190;10/06/2026;20/06/2026;0 ;17917 - RAÇÃO FÓRMULA NATURAL FRESH MEAT CÃES ADULTOS MÉDIOS 12KG;                                                   1,41 ;                                                              -   ;                                                                  -   ;Zerado;Meta acima 75%|Estoque Zerado;Compras;Compras;-18 ;6 ;2;2;69,51%;                                            20 ;                            -   ;                                         -   ;2;                              25 ;                                    -   ; Sim ;                                           12 ;                                               -   
1 ;1|31386;31386;BISCOITO ORIGENS CÃES ADULTOS FRANGO +7 GRÃOS 700G;ATIVO;ALIMENTAÇÃO;ORIGENS;Yasmin;Não;Sim;Não;OK;10,88 ;26,90 ;25,53 ;17 ;27 ;434 ;294 ;689 ;294 ;285 ;110 ;15,96%;49,3%;30 ;327 ;772 ;3 ;90%;Meta acima 75%;90% a 100%;0 ;0 ;0 ;48 ;519 ;1.216 ;18 ;192 ;451 ;10 ;0 ;255 ;21 ;15%;10% a 20%;3 ;33 ;77 ;3 ;3 ;33 ;77 ;0 ;0 ;0 ;3 ;22 ;19 ;33 ;77 ;3;33;77;15%;Estoque maior 75%;10% a 20%;30 ;327 ;766 ;18 ;192 ;451 ;0 ;0 ;0 ;0 ;0 ;0;68;0;0;0;3;33;77;0;0;0;0;0;0;40 ;435 ;1.021 ;40 ;435 ;1.021 ;0 ;0 ;0 ;10;0;0;;;0;0;;;0 ;31386 - BISCOITO ORIGENS CÃES ADULTOS FRANGO +7 GRÃOS 700G;                                                   1,59 ;                                                              2 ;                                                                  3 ;Sem Excesso;Meta acima 75%|Estoque maior 75%;OK;OK;-18 ;3 ;2;1;55,12%;                                            24 ;                            -   ;                                         -   ;2;                              22 ;                                    -   ; Sim ;                                               1 ;                                               -   
1 ;1|13486;13486;TOP DOG 30KG 2 COMPRIMIDOS;ATIVO;FARMÁCIA;OUROFINO;Gelder;Não;Sim;Não;Vendas Crítico;39,73 ;77,99 ;71,90 ;11 ;1 ;815 ;40 ;72 ;40 ;19 ;13 ;18,01%;32,6%;20 ;795 ;1.438 ;19 ;5%;Meta 25%;0% a 10%;8 ;318 ;575 ;2 ;70 ;127 ;0 ;0 ;0 ;-10 ;-743 ;0 ;1 ;1438%;Acima de 100%;11 ;437 ;791 ;11 ;11 ;437 ;791 ;0 ;0 ;0 ;11 ;10 ;0 ;437 ;791 ;11;437;791;1438%;Estoque até 75%;Acima de 100%;2 ;70 ;127 ;0 ;0 ;0 ;0 ;0 ;0 ;52 ;0 ;52;35;17;683;1.237;11;437;791;0;0;0;0;0;0;10 ;397 ;719 ;10 ;397 ;719 ;0 ;0 ;0 ;6;0;0;;;0;0;;;0 ;13486 - TOP DOG 30KG 2 COMPRIMIDOS;                                                   0,06 ;                                                       187 ;                                                               11 ;Com excesso;Meta 25%|Estoque até 75%;Vendas Crítico;Vendas Crítico;10 ;19 ;2;1;85,71%;                                               -   ;                            -   ;                                         -   ;2;                              10 ;                                    -   ; Sim ;                                              -   ;                                               -   
